,description,charge
5548,NAIL TIBIAL T2 STD 11/375MM,"7,168"
5549,NAIL TIBIAL T2 STD 9/330MM,"7,168"
5550,NAIL TROCH 10X340MM 125D34250340S,"10,623"
5551,NAIL TROCH GAMA 10X360MM65250360S,"10,623"
5552,NAIL TROCH GAMMA10X170MM31300170S,"9,889"
5553,NAIL TROCH GAMMA10X400MM34250400S,"10,623"
5554,NAIL TROCH1.5X10X40MM 3425-0400S,"10,621"
5555,NAIL TROCH10X360MM 125D 34250360S,"10,623"
5556,NAIL TROCHANGAMMA10X38035250380S,"10,623"
5557,NAIL TROCHANGERIC 11X180/130*,"7,013"
5558,NAIL TROCHANT 10X170MM 31250170S,"9,889"
5559,NAIL TROCHANTERIC SMALL 31200170S,"9,889"
5560,NAIL VALOR 11.5X200 RT 415101120R,"15,996"
5561,NAIL VALOR MED11.5X200 415101120L,"17,858"
5562,NAILTROCANGAM1.510X320MM35250320S,"10,623"
5563,NALBUPHINE 10MG INJ,16
5564,"NALBUPHINE INJ, 10MG/ML",24
5565,NALOXONE 0.4MG INJ 1ML,341
5566,NALOXONE 0.4MG/ML INJ 10ML,202
5567,"NALOXONE INJ, 1MG/ML",58
5568,"NALTREXONE TAB, 50MG",24
5569,NAPROXEN 375MG TAB,6
5570,"NAPROXEN SUSP, 125MG/5ML",37
5571,"NAPROXEN TAB, 250MG",4
5572,NASAL BONES,612
5573,NASAL SEPTAL BUTTON SZ3X4 SP78100,476
5574,NASAL SINUS CULTURE,204
5575,NASO/OROGASTRIC TUBE PLACEMENT,180
5576,"NEBIVOLOL TAB, 10 MG",27
5577,"NEBIVOLOL TAB, 2.5 MG",30
5578,"NEBIVOLOL TAB, 5 MG",30
5579,NECK FOR SOFT TISSUE,513
5580,NEEDLE 3 CM 20 G HAWKINS (253030),144
5581,NEEDLE ASPIR 2.4X1.52 M00550020,"1,358"
5582,NEEDLE BIOPSY 11GAX4IN DJ4011X,144
5583,NEEDLE BIOPSY 14GAX6IN 2N2704X,184
5584,NEEDLE BIOPSY 2.2MM 9733068,"3,608"
5585,NEEDLE BONE MAR ASP 11G 20909028,449
5586,NEEDLE BONE MAR ASP 8G 20909029,449
5587,NEEDLE CANNULA VERES BLUE 4.5 DIS,143
5588,NEEDLE DEL 10GAX10CM DLS710301S,392
5589,NEEDLE ESZ 100 48850100,449
5590,NEEDLE EUS/FNB 19G M00555580,"3,211"
5591,NEEDLE EXPRESS 8.5-9IN 214141,609
5592,NEEDLE HAWK 20G BREAST 253125,175
5593,NEEDLE LOCALIZATION BY XRAY,752
5594,NEEDLE MENISCAL REPAIR EYELET8570,162
5595,NEEDLE MULTIFIRESCORPION AR13995N,992
5596,NEEDLE PEDACCESSTIGER2.9X42 TN100,449
5597,NEEDLE PNEUMO ENDOPATH 150MM DISP,258
5598,NEEDLE SCORPION KNEE AR12990N,"1,138"
5599,NEEDLE SUTURE FIBERWIRE2-0 AR7221,120
5600,NEEDLE TRUEPASS DISP 72203793,847
5601,"NEEDLE,TRANSSEPTAL(ST JUDE)","1,944"
5602,NEEDLEMACROPLAS3.8FRX14.5INMRN420,194
5603,"NEG PRESS WOUND TX, <50 CM",754
5604,"NEG.PRESS.WND.TX,DISP.EQ,< 50 CM",835
5605,NEOMYCIN 500MG TAB,11
5606,NEONATAL T4 TO THE STATE,154
5607,NEOSPORIN GU IRRIGANT SOLN 1ML,73
5608,"NEOSPORIN OINT, 30GM",20
5609,NEOSPORIN OINTMENT 1GM,2
5610,NEOSPORIN OPTH OINT 3.5G,323
5611,NEOSTIGMINE METHYLS.@0.5MG (10MG),14
5612,"NEOSTIGMINE METHYLS.@0.5MG,IJ(4MG",30
5613,"NERVE BLOCK INJ,INTERCOSTAL,SINGL",746
5614,NEURO MAX SHEATH 6F 90X4CM,"2,542"
5615,NEUROFLEX COLL CUFF 2X2.5 CCF2025,"9,489"
5616,NEUROFLEX COLLAGEN6X2.5 CNCF6025,"8,551"
5617,NEUROFLEX COLLGNCUFF3X2.5CNCF3025,"7,435"
5618,NEUROMED COLLGNWRAP6X2.5CMCNW6025,"9,396"
5619,NEUROMUSCULAR REEDUCATION,175
5620,NEURONTIN (GABA PENTIN),249
5621,NEUROSTIMULATOR ENTERRALL 37800,"50,791"
5622,NEUROSTIMULATOR VERIFY EXT 3531,"2,335"
5623,"NEUTRA-PHOS PWD, 1.25G",3
5624,"NEVIRAPINE SUSP, 50MG/5ML",26
5625,"NEVIRAPINE TAB, 200MG",97
5626,NEW PATIENT LEVEL 1,131
5627,NEW PATIENT LEVEL 2,173
5628,NEW PATIENT LEVEL 3,239
5629,NEW PATIENT LEVEL 4,316
5630,NEW PATIENT LEVEL 5,388
5631,NIACIN 250MG CAP SA,0
5632,NIACIN TAB CR 500MG,33
5633,"NIACIN TAB, 100MG",0
5634,NICARDIPINE IN NSS INF,691
5635,NICARDIPINE PREMIX 40MG IN NSS 20,"1,382"
5636,"NICOTINE PATCH, 14MG/24HR",12
5637,"NICOTINE PATCH, 21MG/24HR",12
5638,"NICOTINE PATCH, 7MG/24HR",12
5639,NIFEDIPINE 10MG CAP,11
5640,NIFEDIPINE SR TAB 90MG,15
5641,NIFEDIPINE TAB 30MG SA,8
5642,NIFEDIPINE TAB 60MG SA,12
5643,NIMODIPINE 30MG CAP,90
5644,"NIMODIPINE, ORAL SOLN, 60MG/20ML",496
5645,"NITROFURANTOIN MONO CAP, 100MG",15
5646,NITROGLYCERIN 0.1MG/HR PATCH,11
5647,NITROGLYCERIN 0.2MG/HR PATCH,9
5648,NITROGLYCERIN 0.3MG/HR PATCH,36
5649,NITROGLYCERIN 0.4MG TAB SL 25',7
5650,NITROGLYCERIN 0.4MG/HR PATCH,12
5651,NITROGLYCERIN 0.6MG/HR PATCH,14
5652,"NITROGLYCERIN CAP SA, 2.5MG",5
5653,"NITROGLYCERIN IN DEXTROSE 5%, 50M",127
5654,NITROGLYCERIN INJ 5MG/ML 10ML,92
5655,NITROGLYCERIN OINT FOILPAC 2%,16
5656,NITROGLYCERIN SPRAY,"1,272"
5657,NITROPRUSSIDE 50MG INJ,"1,869"
5658,"NIVOLUMAB, PER 1 MG, INJ (100)",178
5659,"NIVOLUMAB, PER 1 MG, INJ (40)",178
5660,"NIZORAL SHAMPOO 2%, 120ML",156
5661,NM CARDIOLITE,340
5662,NM CITRATE,576
5663,NM DPTA/TC99M,108
5664,NM G.I. BLEEDING SCAN,"2,696"
5665,NM GASTRIC EMPTYING SCAN,"3,957"
5666,NM I-123 200 UCI,235
5667,"NM I-131,DIAG.-SOD.IOD.CAP.@ 1MCI",83
5668,NM LIVER-SPLEEN SCAN,"1,092"
5669,NM LUNG SCAN PERFUSION,"2,232"
5670,NM MDP/TC99M,361
5671,NM MECKLE SCAN,"1,590"
5672,NM OCTREOSCAN,"6,764"
5673,NM PERTECH,340
5674,NM SALIVARY GLAND SCAN,"1,092"
5675,NM SULFCOL,258
5676,NM TECHNETIUM TC-99 MAA,340
5677,NM WBC,340
5678,NM XENON,340
5679,"NM-BRACHYTHER,NON-STR,Y90MICROSPH","50,815"
5680,"NM-TC99M-MEBROFENIN,<15MCI (CHOL)","1,350"
5681,NON-COVERED MEDICARE MILEAGE,21
5682,NON-STRESS TEST,"1,144"
5683,"NOREPINEPHRINE DRIP,4MG(250ML D5W",132
5684,"NOREPINEPHRINE INF, 4MG NSS 250ML",142
5685,"NORMOSOL-R INF, [PH-7]",170
5686,NORTRIPTYLINE 10MG CAP,2
5687,NORTRIPTYLINE 25MG CAP,8
5688,NORTRIPTYLINE 50MG CAP,4
5689,NOSE CULTURE,204
5690,"NUCLEOTIDASE, 5'",264
5691,NUT CONDYLE 5MM,885
5692,NYSTATIN CREAM 15GM,99
5693,NYSTATIN OINT (15MG),95
5694,NYSTATIN ORAL SUSP 100MU/ML,8
5695,NYSTATIN POWDER 15GM,212
5696,"NYSTATIN SUSP, 500,000U",6
5697,O2 THERAPY/DAILY,150
5698,OB EMERGENCY VISIT-LEVEL 1,722
5699,OB EMERGENCY VISIT-LEVEL 2,"1,423"
5700,OB EMERGENCY VISIT-LEVEL 3,"2,149"
5701,OB EMERGENCY VISIT-LEVEL 4,"2,675"
5702,OB EMERGENCY VISIT-LEVEL 5,"3,205"
5703,OB EMERGENCY VISIT-TRIAGE ONLY,128
5704,"OB US NUCHAL MEAS, 1 GEST",770
5705,"OB US NUCHAL MEAS, ADD-ON",482
5706,"OB,US,>/=14WKS,SINGLE FETUS",666
5707,"OBINUTUZUMAB INJ, PER 10MG (1000)",439
5708,OBSERVATION PER HOUR,211
5709,OBTURATOR ENDO 8MM DISP 420023,162
5710,OCCULT BLOOD FECAL SCR 1-3 DETERM,119
5711,"OCCULT BLOOD, FECAL DIAGNOSTIC",76
5712,OCCUPATIONAL THPY GAIT TRAINING,107
5713,OCCUPATIONAL THPY ORTHO MGMT&TREA,250
5714,OCCUPATIONAL THPY THERAPEU EXERCI,190
5715,"OCTREOTIDE NON-DEP,@25MCG,INJ(100",17
5716,"OCTREOTIDE NON-DEP,@25MCG,INJ(500",12
5717,"OCTREOTIDE,DEPOT,PER 1MG,INJ (20)","1,261"
5718,"OCTREOTIDE,DEPOT,PER 1MG,INJ (30)","1,259"
5719,OCUFLOX OPHTH SOLN 5ML,119
5720,"OFLOXACIN OTIC DROPS, 0.3%",105
5721,"OLANZAPINE TAB, 2.5MG",63
5722,OLANZAPINE ZYDIS TAB 15MG,73
5723,"OLANZAPINE ZYDIS TAB, 10MG",119
5724,"OLANZAPINE ZYDIS TAB, 5MG",81
5725,OLIGIOCLONAL BANDING,472
5726,"OLMESARTAN TAB, 5MG",32
5727,"OLMESARTANTAB, 20MG",36
5728,"OLOPATAD9NE OPHTH SOLN, 0.01% 5M","1,514"
5729,"OMNIPAQUE 300-399MG/ML IODINE,1ML",3
5730,ONDANSETRON INJ 2MG/ML 20ML,2
5731,"ONDANSETRON INJ, 2MG/ML (2ML)",2
5732,ONDANSETRON ODT 8MG,210
5733,"ONDANSETRON ODT TAB, 4MG",131
5734,"ONDANSETRON ORAL SOLN, 4MG/5ML",68
5735,"ONDANSETRON TAB, 8MG",29
5736,ONYX 34 LIQUID EMBOLIC AGENT EV3,"18,229"
5737,OPERATING ROOM BASE TIME 1 HOUR,"13,819"
5738,OPERATING ROOM ECH ADDED 1/2 HOUR,"4,238"
5739,OR SEN-EEG NON CRANIAL,206
5740,ORAL ADMIN-RADIOPHARM THERAPY,"1,802"
5741,ORBITAL IMP W CONF 10001 100018S,"4,816"
5742,ORBITS COMPLETE,911
5743,"ORITAVANCIN,PER 10 MG, INJ. (400)",169
5744,ORTLOPANTOGRAM,170
5745,OS CALCIS 2+ VIEWS,542
5746,"OSELTAMIVIR PHOSPHATE CAP., 75MG",88
5747,"OSELTAMIVIR SUSP,6MG/ML(60ML)",15
5748,OT EVAL-HIGH COMPLEXITY (60 MIN),867
5749,OT EVAL-LOW COMPLEXITY (30 MIN),490
5750,OT EVAL-MODERATE COMPLEX.(45 MIN),652
5751,OT RE-EVAL-EST.CARE PLAN (30 MIN),537
5752,"OXACILLIN SOD,@250MG,IJ(20MG-NIC)",16
5753,"OXALATE, 24 HOUR URINE",305
5754,"OXALIPLATIN,PER .5MG, INJ (100MG)",3
5755,OXAZEPAM 10MG CAP,5
5756,OXAZEPAM 15MG CAP,6
5757,"OXCARBAZEPINE SUSP., 300MG/5ML",47
5758,"OXCARBAZEPINE TAB, 150MG",9
5759,"OXCARBAZEPINE TAB, 300MG",4
5760,"OXYBUTYNIN TAB, 5MG",4
5761,OXYCODONE CONTROLLED RELEASE,48
5762,"OXYCODONE IR TAB, 15MG",10
5763,"OXYCODONE SOLN, 5MG/5ML",49
5764,"OXYCODONE SR TAB, 10MG",26
5765,"OXYCODONE TAB, 5MG",3
5766,"OXYCONTIN SR TAB, 40MG",81
5767,OXYGEN THERAPY/RECOVERY,238
5768,"OXYMETAZOLINE NAS SPRAY,0.95%(15M",12
5769,"OXYTOCIN,@ 10U, INJ (10 U)",10
5770,"OXYTOCIN,@ 10U, INJ (20 U-LR)",85
5771,"OXYTOCIN,@ 10U, INJ (30 U-NSS)",38
5772,P/M TEMPORARY WIRE,"1,425"
5773,PACEMAKER 1 CHAMB ASSURITY PM1272,"16,472"
5774,PACEMAKER 2CHAMB ADVISAMRI A2DR01,"31,743"
5775,PACEMAKER ACCOLADE DR IS1 L301,"19,265"
5776,PACEMAKER ACCOLADE IS-1 L310,"29,190"
5777,PACEMAKER ACCOLADE MRI DR L311,"32,109"
5778,PACEMAKER ACCOLADE SR SGL L300,"16,346"
5779,PACEMAKER ADAPTA DR (MEDTRONIC),"26,567"
5780,PACEMAKER ADAPTA SR (MEDTRONIC),"24,622"
5781,PACEMAKER ASSURITY DR-RF PM2272,"21,963"
5782,PACEMAKER ASSURITY47X50X6 PM2240,"30,523"
5783,PACEMAKER AZURE XT MRI W1DR01,"25,582"
5784,PACEMAKER AZURE XT MRI W1SR01,"19,032"
5785,PACEMAKER BIVENT ALLURE PM3222,"33,831"
5786,PACEMAKER IPG ADVISA A3SR01,"25,687"
5787,PACEMAKER VALITUDE CRTP U125,"39,698"
5788,PACEMAKER-MICRA(SINGLE-RATE RESP),"39,390"
5789,PACK ARTHROSCOPY MAIN CUSTOM,331
5790,PACK BARIATRIC CUSTOM DYNJ43531,"1,227"
5791,PACK BASIC NEURO CTYCSTMDYNJ34405,686
5792,PACK BASIC NEURO CUSTOM,700
5793,PACK CARDIAC OPEN HEART CUSTOM,"1,847"
5794,PACK CARIDAC SURGERY CABG CUSTOM,757
5795,PACK C-SECTION BIRTH TRAY CUSTOM,267
5796,PACK D&C HYSTER CUSTOM DYNJ33779,216
5797,PACK E P DEVICE,414
5798,PACK GENERAL LAP CUSTOMDYNJ33778A,260
5799,PACK GENERAL SURGERY CUSTOM,184
5800,PACK HIP SCOPE ARTHROS DISP COMP,"1,562"
5801,PACK LAPARASCOPY MINOR DYNJ33780,298
5802,PACK ORTHO SPINE DYNJ39261,746
5803,PACK PRESERV 1/8IN KIT KNEE864192,746
5804,PACK PROCEDURE AV CUST DYNJ32603,273
5805,PACK SHOULDER ARM CUST DYNJ32604,619
5806,PACK TAVR CUSTOM DYNJ47834,"1,244"
5807,PACK TOTAL HIP CUSTOM,"1,032"
5808,PACK TOTAL JOINT CUSTOM,"1,436"
5809,PACK TOTAL KNEE CUSTOM,"1,247"
5810,PACK VASCULAR CUSTOM DYNJ32915,271
5811,PACKING NASAL 10CM 440406,150
5812,PACKING NASAL MEROGEL4X4 1517002,483
5813,PACKING NASAL RHINO 7.5CM RR750,220
5814,"PACLITAXEL PROT-BOUND,@ 1MG,(100)",91
5815,"PACLITAXEL,PER 1 MG, INJ (100 MG)",2
5816,"PACLITAXEL,PER 1 MG, INJ (30 MG)",3
5817,"PACLITAXEL,PER 1 MG, INJ (300 MG)",3
5818,PAD FOOT FOR HPS TABLE DISPOSABLE,842
5819,PAD PERONEAL SUPINE,488
5820,"PALIPERIDONE TAB ER, 3MG",173
5821,"PALIPERIDONE TAB ER, 6MG",173
5822,"PALIPERIDONE TAB ER, 9MG",259
5823,PALONOSETRON INJ 0.05 MG/ML (5ML,190
5824,"PAMIDRONATE INJ, 30MG",128
5825,"PAMIDRONATE INJ,@ 30MG (90MG)",98
5826,PANCRELIPASE CAP SR,17
5827,PANC-UNLIST(NECROSECT.PANCR.CYST),"2,950"
5828,PANCURONIUM 10MG INJ 10ML,32
5829,"PANITUMUMAB, @ 10 MG, INJ (400)",807
5830,PANTOPRAZOLE EC TAB 40MG,23
5831,PANTOPRAZOLE INJ 40MG,44
5832,"PANTOPRAZOLE ORAL SUSP, 40MG",30
5833,PARACENTESIS,"1,219"
5834,PARATHYROID HORMONE INTAC,958
5835,PARATHYROID SCAN,"2,191"
5836,PARAVERINE INJ 30MG/ML (2ML),19
5837,PARIETEX 14CMX9CM TEM1409GL,"2,116"
5838,PARIETEX PROGRIP 12X8 TEM1208GL,"1,798"
5839,PARIETEX PROGRIP 14X9 TEM1409GR,"1,666"
5840,PARIETEX PROGRIP 15X15 TEM1515G,"1,745"
5841,"PAROXETINE TAB, 20MG",15
5842,"PAROXETINE TAB, 30MG",15
5843,PAROXETINE TAB. 10MG,15
5844,PARVO VIRUS,242
5845,PASSER CATHERTER 55CM DISP 821516,580
5846,PASSER CATHETER 65CM XLONG 821517,572
5847,PASSER SUTLASSO1.8MM25DAR406825TL,843
5848,PASSER SUTURE MICRO STR AR8703,801
5849,PASSER SUTURE SHUTTLE RELAY C6004,213
5850,PATALLAR OVAL RSURF 38MM,"2,210"
5851,PATCH CAROTID 8X75 HGKTP0875CPUT,802
5852,PATCH COMPOSITE PAR 8CM PCO8VP,"3,793"
5853,PATCH DURAL10X16CMBOVINE DG1016SN,"3,712"
5854,PATCH EVARREST 2X4 EVT5024,"7,006"
5855,PATCH PERIGUARD 6X8CM PC0608N,"2,195"
5856,PATCH VAS ALBOSUR1X15X.04AP10150R,"1,482"
5857,PATCH VASC ALBO.8X7.5X.4 AP08075T,654
5858,PATCH VENTRAL 4.6CM PCO4VP,"2,837"
5859,PATCH VENTRAL PARIETEX 6CM PC06VP,"2,953"
5860,PATCH XENOSURE 8X8 EO8P8,"1,022"
5861,"PATCH,VASC,HEMA 8/75M 019579",863
5862,"PATCH,VASC,HEMA,8/150MM,FINESSE","1,028"
5863,"PATCH,VASU,2CM X 9CM,(1802009004)","1,380"
5864,"PATCH,VASU,THIN,2CM X 9CM,OVAL-S","1,349"
5865,PATEL STAN SZ 29M DIA 8.0M THICK,"2,591"
5866,PATELLA ASSYMETRIC # 35,"3,022"
5867,PATELLA ASYMET TRIATH A405551L401,"2,066"
5868,PATELLA ASYMETR A38X11MM 5551L381,"2,066"
5869,PATELLA ASYMETRIC (6642-2-050),"3,982"
5870,PATELLA ASYMETRIC 10MMX3 TRIATHLO,"3,022"
5871,PATELLA ASYMETRIC A35 551L350,"2,066"
5872,PATELLA ASYMMETRIC A29X9MM TRIATH,"2,066"
5873,PATELLA ASYMMETRIC A32X10MM TRIAT,"2,066"
5874,PATELLA DOME 35MM,"2,948"
5875,PATELLA DURACON ASYMMETRIC 11MM,"3,982"
5876,PATELLA DUVACON 9MM ASYMETRIC,"3,982"
5877,PATELLA LRG DURACOR,"3,982"
5878,PATELLA PSA 32MM 42540000032,"2,008"
5879,PATELLA RESURFACE GEN II 35MM,"2,189"
5880,PATELLA RESURFACINT 35MM STD,"2,255"
5881,PATELLA STD 38MM,"2,591"
5882,PATELLA STD SZ 32MM,"2,591"
5883,PATELLA SYMME X3 TRIATH 8MM S27MM,"3,022"
5884,PATELLA SYMMETRIC X3 TRIA 8XS29MM,"3,022"
5885,PATELLA SZ35MM/9.0MM NEXGEN,"2,591"
5886,PATELLA TRI X3 9XS33MM 5550G339,"3,022"
5887,PATELLA TRIATH ASYM 11MM A38,"3,022"
5888,PATELLA TRIATHLON X3 (5551-G-299),"3,022"
5889,PATELLAR OVAL GII 35MM,"2,210"
5890,PATELLAR OVAL RESURF GII 29MM,"2,210"
5891,PATELLAR SURFACE 32MM,"2,210"
5892,PATHOLOGY CONSULT DURING SURGERY,40
5893,"PEAK FLOW METER, PORTABLE",72
5894,"PEEL AWAY, INTRODUCER",450
5895,PEG FEMORAL,958
5896,PEG FIX 2X20MM P20000,560
5897,PEG FIX DVR 2.0X22MM P22000,560
5898,PEG FIX DVR 2X18MM P18000,560
5899,PEG GEMINUS 2.7X18 HCLP27180TS,479
5900,PEG LOCK GEM 2.3X16 TPLS23160TS,455
5901,PEG LOCK GEM 2.7X16 HCLP27160TS,455
5902,PEG LOCK GEMIN 2.3X14TPLS231440TS,455
5903,PEG PONSKY PULL DELUXE W/SNARE,584
5904,PEG REMOVAL/CHANGE,"1,000"
5905,PEG SHOULDER ANCHOR SZ 44M GLEN,"9,783"
5906,"PEGFILGRASTIM PER 6MG,INJ (0.6ML)","42,359"
5907,"PEGFILGRASTIM,@ 6MG,INJ(KIT-.6ML)","42,359"
5908,PELVIS COMPLETE NON-OB,"1,639"
5909,PELVIS LTD NON-OBSTETRIC,729
5910,"PEMBROLIZUMAB INJ,PER 1MG (100MG)",287
5911,"PEMETREXED,PER 10 MG,INJ (500 MG)",377
5912,PENICILLIN BENZ 2.4MU INJ,30
5913,PENICILLIN G BENZ 1.2MU INJ,28
5914,"PENICILLIN G BENZATHINAL INJ, 0.6",62
5915,"PENICILLIN G POT,@600K U,INJ (5M)",23
5916,"PENICILLIN G POT,@600K(100K-NIC-S",16
5917,"PENICILLIN G POT,@600K(100K-NICU)",6
5918,"PENICILLIN G POT,@600K,(3M-D5W)PB",14
5919,"PENICILLIN G PROCAINE,@600K U,INJ",97
5920,"PENICILLIN G SODIUM INJ, 5MU",326
5921,"PENICILLIN V POTASSIUM TAB, 250MG",5
5922,PENICILLIN VK SUSP 250MG/5ML,2
5923,"PENTOBARBITAL SOD.@50MG,INJ(2500)",307
5924,PENTOXIFYLLINE 400MG TAB,8
5925,PEP THERAPY EACH 15 MIN,152
5926,PERC CHOLECYSTOSTOMY,"4,790"
5927,PERC CRYO ABLATE RENAL TUM,"10,998"
5928,PERC D-E COR REVASC CHRO SIN,"40,325"
5929,PERC D-E COR REVASC T CABG B,"22,377"
5930,PERC D-E COR REVASC T CABG S,"40,325"
5931,PERC D-E COR REVASC W AMI S,"41,600"
5932,PERC D-E COR STENT ATHER BN,"40,294"
5933,PERC D-E COR STENT ATHER S,"40,325"
5934,PERC DRAINAGE CATH PERIT ABSCESS,"1,215"
5935,PERC DRUG-EL COR STENT ADD.BRANCH,"11,188"
5936,PERC DRUG-EL COR STENT SING,"22,377"
5937,"PERC.VERT.AUGMNT,1BODY,LUMB,+GUID","10,596"
5938,"PERC.VERT.AUGMNT,1BODY,THOR,+GUID","17,840"
5939,PERCEPTUAL MOTOR TASKS O.T.,205
5940,PERCOCET TAB,8
5941,PERCUT R.F. ABLATION RENAL TUMORS,"12,366"
5942,"PERCUT TRANS W/HEMODY EVAL, S&I","3,282"
5943,PERCUTANEOUS CATH CHANGE OR DR CA,"2,312"
5944,PERFLUTREN MICROSPH. @1ML INJ(2ML,442
5945,"PERFORATOR,CRANIAL,HUDSON,14MM","1,114"
5946,PERFUSION OFF PUMP,"14,560"
5947,PERFUSION ON PUMP,"21,822"
5948,"PERICARDIOCENTESIS, INITIAL","11,233"
5949,PERIPHERAL GUIDE CATHETER,"2,702"
5950,"PERI-PROC.DEVICE EVAL,IMPL.DEFIB.",242
5951,PERITONEAL LAVAGE INCL. IMAGING,"2,620"
5952,PERITONEOGRAM,880
5953,"PERMACATH, ALL",899
5954,PERMETHRIN CREAM 5% (60G),700
5955,"PERMETHRIN CRM RINSE, 1%(60ML)",57
5956,"PERMETHRIN LOT, 1%(60ML)",48
5957,PERPHENAZINE 2MG TAB,10
5958,PERPHENAZINE 4MG TAB,10
5959,"PERQ.PL.DEV.BREAST,MAMMO,1ST LSN","2,205"
5960,"PERQ.PL.DEV.BREAST,MAMMO,EA.+LSN","1,103"
5961,"PERQ.PL.DEV.BREAST,ULTRSD,1ST.LSN","4,460"
5962,"PERQ.PL.DEV.BREAST,ULTRSD,EA.+LSN","2,230"
5963,"PERTUZUMAB,INJ,PER 1 MG(420VIAL)",81
5964,PET - FDG,389
5965,"PET IMAGE W/CT,FULL BODY W/PS MOD","4,567"
5966,"PET IMAGE W/CT,SKULL-THIGH ","4,567"
5967,PH ELECTRODE ESOPHAGUS,504
5968,PHARMACOLOGIC STRESS,"1,248"
5969,PHENAZOPYRIDINE HCL TAB 100MG,14
5970,PHENCYCLIDINE ASSAY,212
5971,PHENERGAN 25MG TAB,3
5972,PHENOBARBITAL 100MG TAB,2
5973,PHENOBARBITAL 30MG TAB,5
5974,"PHENOBARBITAL ELIX, 20MG/5ML (UD)",6
5975,"PHENOBARBITAL ELIXIR, 30MG/7.5ML",9
5976,PHENOBARBITAL SERUM,267
5977,"PHENOBARBITAL SOD,@ 120MG,INJ(65)",18
5978,"PHENOBARBITAL SOD,@120MG,INJ(130)",314
5979,"PHENOBARBITAL TAB, 15MG",4
5980,PHENOL 1.4% TROPICAL THROAT SPRAY,20
5981,"PHENOTYPE,DNA HIV W/CULTURE","11,280"
5982,PHENTOLAMINE MESYLATE@5MG INJ(5MG,"28,892"
5983,PHENYLEPHRINE NASAL SPRA .25% 15M,21
5984,PHENYLEPHRINE NASAL SPRA .5% 15ML,21
5985,"PHENYLEPHRINE NASAL SPRAY,1% 15ML",24
5986,"PHENYLEPHRINE OPHTH.SOLN,2.5%-2ML",230
5987,"PHENYLEPHRINE,@ 1ML(100MCG/1ML)BO",17
5988,"PHENYLEPHRINE,@ 1ML(10MG/1ML),INJ",82
5989,"PHENYLEPHRINE,@ 1ML(10MG/ML)(5ML)",35
5990,"PHENYLEPHRINE,@ 1ML(1MG/10ML)NSS",59
5991,PHENYTOIN 125MG/5ML SUSP 5ML,4
5992,PHENYTOIN CAP SR 30MG,6
5993,"PHENYTOIN CAP SR,100MG",8
5994,"PHENYTOIN INJ, 50MG/ML 5ML",2
5995,"PHENYTOIN INJ,50MG/ML (2ML)",4
5996,"PHENYTOIN TAB CHEW, 648MG",9
5997,PHLEBOTOMY THERAPEUTIC,283
5998,PHOSPHORUS 8 MMOL/SODIUM 6.9MEQ/P,3
5999,PHOSPHORUS SERUM,112
6000,PHOTENGUIDE LIGHT WIDE 104015,"1,605"
6001,PHOTONGUIDE LIGHT NAR FLAT 104008,"1,605"
6002,PHP FAMILY PSYCHOTHERAPY W/PAT,500
6003,PHP GROUP PSYCHOTHERAPY,500
6004,PHP MED.MANAGEMENT-DETAIL/MODER.,255
6005,"PHP PATIENT PSYCHOTHERAPY, 30 MIN",630
6006,"PHP PATIENT PSYCHOTHERAPY, 45 MIN",650
6007,PHP PSYCHIATRIC DX INTERVIEW,600
6008,PHYSICAL THPY ORTHO MGMT&TRAINING,250
6009,PHYTONADIONE @ 1 MG INJ,122
6010,PHYTONADIONE @ 1 MG INJ (10),11
6011,"PHYTONADIONE TAB,5MG",363
6012,PICC,631
6013,PIC-INSERT PICC CATH W/O PORT > 5 YRS,"3,457"
6014,"PILLOW,ABDUCT,ZIMFOAM,LRG DISPOSE",145
6015,"PILOCARPINE OPHTH SOLN, 1%(15ML)",231
6016,PILOCARPINE OPTH SOLN 4% 1ML,249
6017,PIN 45MM STERILE 74013471,257
6018,PIN ANCHOR4X35MMNAVDISP6007435000,"1,491"
6019,PIN ANCHOR4X40MMNAVDISP6007440000,"1,491"
6020,PIN APEX 150X40 50174150S,686
6021,PIN APEX 4X120MM 50233120,535
6022,PIN APEX 5 X 200MM,632
6023,PIN APEX 5/6 300X40 50504300,613
6024,PIN APEX 5X250MM 50187250,627
6025,PIN APEX 5X300MM 6X50 50505300,687
6026,PIN APEX ADAPTER LONG 49331021,"1,396"
6027,PIN APEX S/O 3X110MM,320
6028,PIN BONE MAKO 3.2X110 143110,590
6029,PIN BONE MAKO 3.2X140 143140,590
6030,PIN BONE MAKO 3X17 144170,590
6031,PIN BONE MAKO 4X110 144110,590
6032,PIN BONE MAKO 4X140 144140,590
6033,PIN BONE MAKO 4X80 144080,590
6034,PIN CANC 5X250MM 50157250,660
6035,PIN DISTRACTION CASPAR (800-500X),344
6036,PIN DISTRACTION CASPER16MM80-501X,317
6037,PIN DISTRACTION CASTER 12MM,344
6038,PIN GUIDE 3.2X343 71631436,872
6039,PIN GUIDE SIMPLICITY 3X75 9722908,613
6040,PIN HALF 5X180 50185180,565
6041,PIN HALF APEX 20X120 50268120,653
6042,PIN HALF APEX 2X45X12 50802012,319
6043,PIN HALF APEX 4X120MM 50235120S,538
6044,PIN HALF APEX 5X120 50185120,565
6045,PIN HALF APEX 5X200 50186200,627
